device_id,cycle,pulse_index,direction,conductance_s,pulse_voltage_v,pulse_width_s,pulse_current_a,read_voltage_v,read_current_a,timestamp_s,pulse_terminal,read_terminal,gate_voltage_v,gate_current_a,drain_voltage_v,drain_current_a,source_voltage_v,source_current_a,body_voltage_v,body_current_a,pulse_energy_j
memtransistor_4t-demo,0,0,depression,6.980038210807644e-05,-4.0,0.01,-5e-09,0.1,6.980038210807644e-06,0.36300000000000016,gate-to-source,drain-to-source,-4.0,-5e-09,0.1,6.980038210807644e-06,0.0,-6.980038210807644e-06,0.0,0.0,2e-10
memtransistor_4t-demo,0,1,depression,6.830311354500368e-05,-4.0,0.01,-5.0780361288064515e-09,0.1,6.830311354500369e-06,0.37400000000000017,gate-to-source,drain-to-source,-4.0,-5.0780361288064515e-09,0.1,6.830311354500369e-06,0.0,-6.830311354500369e-06,0.0,0.0,2.0312144515225807e-10
memtransistor_4t-demo,0,2,depression,6.711767158265268e-05,-4.0,0.01,-5.153073372946036e-09,0.1,6.711767158265268e-06,0.3850000000000002,gate-to-source,drain-to-source,-4.0,-5.153073372946036e-09,0.1,6.711767158265268e-06,0.0,-6.711767158265268e-06,0.0,0.0,2.0612293491784143e-10
memtransistor_4t-demo,0,3,depression,6.513385973382149e-05,-4.0,0.01,-5.222228093207842e-09,0.1,6.513385973382149e-06,0.3960000000000002,gate-to-source,drain-to-source,-4.0,-5.222228093207842e-09,0.1,6.513385973382149e-06,0.0,-6.513385973382149e-06,0.0,0.0,2.0888912372831367e-10
memtransistor_4t-demo,0,4,depression,6.365271034284056e-05,-4.0,0.01,-5.282842712474619e-09,0.1,6.365271034284056e-06,0.4070000000000002,gate-to-source,drain-to-source,-4.0,-5.282842712474619e-09,0.1,6.365271034284056e-06,0.0,-6.365271034284056e-06,0.0,0.0,2.1131370849898477e-10
memtransistor_4t-demo,0,5,depression,6.216307181919003e-05,-4.0,0.01,-5.332587844921018e-09,0.1,6.2163071819190034e-06,0.4180000000000002,gate-to-source,drain-to-source,-4.0,-5.332587844921018e-09,0.1,6.2163071819190034e-06,0.0,-6.2163071819190034e-06,0.0,0.0,2.1330351379684072e-10
memtransistor_4t-demo,0,6,depression,6.014862191055991e-05,-4.0,0.01,-5.369551813004515e-09,0.1,6.014862191055991e-06,0.4290000000000002,gate-to-source,drain-to-source,-4.0,-5.369551813004515e-09,0.1,6.014862191055991e-06,0.0,-6.014862191055991e-06,0.0,0.0,2.1478207252018058e-10
memtransistor_4t-demo,0,7,depression,5.8490743430126214e-05,-4.0,0.01,-5.392314112161292e-09,0.1,5.849074343012622e-06,0.4400000000000002,gate-to-source,drain-to-source,-4.0,-5.392314112161292e-09,0.1,5.849074343012622e-06,0.0,-5.849074343012622e-06,0.0,0.0,2.1569256448645167e-10
memtransistor_4t-demo,0,8,depression,5.6741859206911095e-05,-4.0,0.01,-5.4e-09,0.1,5.67418592069111e-06,0.45100000000000023,gate-to-source,drain-to-source,-4.0,-5.4e-09,0.1,5.67418592069111e-06,0.0,-5.67418592069111e-06,0.0,0.0,2.1600000000000003e-10
memtransistor_4t-demo,0,9,depression,5.4897154683713456e-05,-4.0,0.01,-5.392314112161292e-09,0.1,5.489715468371346e-06,0.46200000000000024,gate-to-source,drain-to-source,-4.0,-5.392314112161292e-09,0.1,5.489715468371346e-06,0.0,-5.489715468371346e-06,0.0,0.0,2.1569256448645167e-10
